,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
10500,Audio,01. Microfono,/Fotos2024_4/DL-USB-360MIC RTP.png,Liberty,DL-USB-360MIC,Microfono de mesa USB 360° de captacion,Cuando necesite captar de 4 a 6 personas sentadas alrededor de una mesa y vaya a complementarlo con unos altavoces externos como la barra IMEO-2 de Audac o los altavoces autoamplificados Ares-5A de Audac o XPAM-530 de DreamSound,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10505,Audio,01. Microfono,/TU-USB-CEILINGMIC2 RTP.png,Liberty,TU-USB-CEILINGMIC2,Set de 2 Microfonos de colgar en techo 360° con interfase USB,En un espacio abierto donde esten de 8 a 16 personas y no desee utilziar espacio de la mesa usando un sistema de captacion de precio muy competitivo con salidad directa USB para Zoom/Teams que se puede integrar con un amplificador o altavoces autopotenciados externos gracias a que incluye interfase con procesamiento y ecualizacion basica,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
10510,Audio,01. Microfono,/Fotos2024_4/DL-USB-360SPKMIC RTP.png,Liberty,DL-USB-360SPKMIC,Sistema Microfono - Altavoz - Cancelador eco para 4 o 6 personas,Cuando van a estar 6 a 8 personas en una misma mesa puede utilizar este sistema que incluye parlantes y microfonos con procesamiento avanzado de cancelacion de eco y captacion de 360° que le garantiza el mejor sonido a la persona con la que ustedes estan reuniendose remotament a travez de Zoom/Teams,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6300-001D RTP.png,ClearOne,Dialog-UVHF 910-6300-001D,Receptor Inalambrico Access Point de 8 canales con Dante,"En los casos que requiera manejar 8 microfonos inalambricos de manera simultanea y necesite tener la tranquilidad de poderlos extender hasta 350 sin problemas de interferencias y redundancia de antenas para crecer en captacion este es sistema que debera de escoger.  Si tiene mics inalambricos UVHF, va a necesitar receptor.",,Microfnos inalambricos Dialog UVHF,,,,,,1,1,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
11500,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6307-001 RTP.png,ClearOne,Dialog-UVHF 910-6307-001,Microfono inalambrico de superficie cardioide / Omni,Cuando desee un microfono de perfil plano que no se convierta en un obstaculo visual  en su mesa con posibilidad que capte a todos alrededor o solo a los del frente,,Receptor Dialog UVHF,,,,,,1,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
12000,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6308-001 RTP.png,ClearOne,Dialog-UVHF 910-6308-001,Transmisor inalambrico tipo podium para mics cuello de cisne,Cuando se necesite un microfono de cuello de cisne para instalar sobre la mesa pero con las ventajas que sea inalambrico para llegar mas facil a la mesa y hacer una instalacion mas limpia.  Este incluye bateria recargable de larga vida que le ahorrara dinero y le facilitara su montaje.,,Receptor Dialog UVHF,,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
12500,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6304-006 RTP.png,ClearOne,Dialog-UVHF 910-6304-006,Microfono inalambrico de mano condenser,Cuando se necesite un microfono de Mano con un perfil para conferencistas en donde resalte la claridad de la voz pero con las ventajas que sea inalambrico. Este incluye bateria recargable de larga vida que le ahorrara dinero y le facilitara su montaje.,,Receptor Dialog UVHF,,,,,,1,1,1,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
13000,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6305-001 RTP.png,ClearOne,Dialog-UVHF 910-6305-001,Transmisor beltpack (viene sin microfono),Cuando use un microfono inalambrico de solapa o de diadema va a necesitar este transmisor que se coloca en su cinturon.  Este transmisor incluye bateria recargable de larga vida que le ahorrara dinero y le facilitara su montaje.  No olvide de incluir los microfonos ya que este es solo el transmisor.,,Receptor Dialog UVHF,,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
13500,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6004-040 RTP.png,ClearOne,Dialog-UVHF 910-6004-040,Microfono de solapa cardioide para beltpack,"Cuando necesite que el expositor tenga las manos libres pero no desee que se le coloque un microfono de diadema, este microfono que trabaja con el poderoso sistema DS es la solucion",,Beltpack Dialog-UVHF,,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
14000,Audio,01. Microfono,/Fotos2024_4/Dialog-UVHF 910-6308-004 RTP.png,ClearOne,Dialog-UVHF 910-6308-004,"Microfono cuello de cisne 18"" para transmisor tipo podium","Cuando necesite que el expositor tenga las manos libres pero no desee que se le coloque un microfono de diadema, este microfono que trabaja con el poderoso sistema DS es la solucion",,Podium Dialog-UVHF,,,,,,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
