,,,,,,,,,,,,,Reunion y Colaboracion,,,,,,,Entretenimiento y Cultura,,,,,,,Hogar y espacios personales,,,,,Espacios Comerciales,,,,Hosteleria,,Museos y Parques,,Educacion,,,,,,Oracion y Culto,,,,,Espacios Deportivos,,,Espacios de atencion a la salud,,,Espacios Corporativos,,,,Transporte,,,,Gubernamental,,,
ID,Tipo,Producto,Foto,Marca,Modelo,Descripcion,Cuando_Usar,EVAC,Requiere_Accesorio_o_equipo_Adic,Power_Supply_Adicional,Tapa_Adicional,Caja_Adicional,Escritorio_o_Home_Office,Huddle_Room,Sala_de_Juntas,Auditorio,Salones_Multiples,Congresos__Consejos,Centros_de_Convenciones,Restaurante,RestoBar,Bar__Lounge,Bar_con_Musica_en_Vivo,Discoteca,Teatro,Concierto_Aire_libre,Fiesta_Portatil,Sala_de_Escucha_en_su_casa,Home_Theater,Apartamento_Completo,Casa_Completa,Tienda_o_Boutique,Market,Mall,Centro_Comercial,Hoteles,Resort,Museo,Parques_Tematicos,Educacion_a_Distancia,Salon_de_Clases,Escuela,Colegio,Campus_Universitario,Biblioteca,Capilla,Iglesia,Basilica,Casa_de_Oracion,Centro_de_Oracion,Gimnasio,Coliseo,Estadio,Consultorio,Edificio_Mediano_o_Clinica,Gran_Edificio_u_Hospital,Bodegas,Fabricas,Complex_Oficinas,Gran_Edificio_Oficinas,Aeropuerto_regional,Aeropuerto_nacional,Aeropuerto_internacional,Metro,Edificios_Administrativos,Infraestructura_Tuneles__Puertos,Evacuacion_Ciudades,POR_Definir
138000,Audio,04. Matrix Audio,/138000_PVA-4CR12.png,Bosch,PVA-4CR12,Controlador 12 subzonas con 4 buses,"Cuando usted necesite un sistema de llamados  para musica ambiental y evacuacion para emergencias en varias zonas que cumpla las normas EN54, UL y NFPA7210  Este sistema incluye memoria para grabacion de mensaje automaticos incluido",1,Amplificadores Paviro Opcional,PLN-24CH12 o PSU-1T-100,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,,
139000,Audio,04. Matrix Audio,/139000_PRA-SC.png,Bosch,PRA-SC Series,Varios Controladores IP de varios tamaños con sensado de ruido,"Cuando requiera el sistema mas avanzado y potente para audioevacuacion con interfase totalmente IP via Dante, expandible y cumple normativas EN54 y EVAC.   Hasta 250 zonas pro controlador, 1200 canales de amplificacion",1,Amplificadores PRA-AD60x Opcional y licencia PRA-APAL,PRA-MPS3 y modulo PRA-PSM,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
145000,Audio,04. Matrix Audio,/145000_Vx-3004F.png,TOA,Vx-3004F,Controlador y Frame central IP sistema Vx3000 4 zonas con sensado de ruido,"Cuando usted necesite un sistema de llamados IP expandible  con mas matrixes para musica ambiental y evacuacion para emergencias en varias zonas que cumpla las normas EN54, UL y NFPA7210. Este equipo todo en uno que puede ser usado e instalado muy facilmetne es la mejor .  Este sistema incluye memoria para grabacion de mensaje automaticos incluido",1,Amplificadores,Vx300DS,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
146000,Audio,04. Matrix Audio,/146000_Vx-3008F.png,TOA,Vx-3008F,Controlador y Frame central IP sistema Vx3000 2 zonas y 8 subzonas con sensado de ruido,"Cuando usted necesite un sistema de llamados IP expandible  con mas matrixes para musica ambiental y evacuacion para emergencias en varias zonas que cumpla las normas EN54, UL y NFPA7210. Este equipo todo en uno que puede ser usado e instalado muy facilmetne es la mejor .  Este sistema incluye memoria para grabacion de mensaje automaticos incluido",1,Amplificadores,Vx300DS,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
147000,Audio,04. Matrix Audio,/147000_Vx-3016F.png,TOA,Vx-3016F,Controlador y Frame central IP sistema Vx3000 2 zonas y 16 subzonas con sensado de ruido,"Cuando usted necesite un sistema de llamados IP expandible  con mas matrixes para musica ambiental y evacuacion para emergencias en varias zonas que cumpla las normas EN54, UL y NFPA7210. Este equipo todo en uno que puede ser usado e instalado muy facilmetne es la mejor .  Este sistema incluye memoria para grabacion de mensaje automaticos incluido",1,Amplificadores,Vx300DS,,,,,,,,,1,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
149000,Audio,04. Matrix Audio,/149000_M-864D.png,TOA,M-864D,Matrix Mixer 15x6 control inteligibilidad y feedback,"Cuando necsite una matrix mixer con 15 entradas y 6 salidas con DSP para correxion de funcionamiento de altavoces e incluya una potente herramienta para reducir resonancias en los salones y asi aumentar la inteligibilidad y ademas un destructor automatico de feedback de manera que operaciones en lugares con condiciones acusticas complicadas sea realizado mas facilmente aun por operarios sin mayores conocimientos tecnicos, esta es la opcion ideal.",,,,,,,,,,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,
150000,Audio,04. Matrix Audio,/Fotos2024_4/XMAM-6120MX RTP.png,DreamSound,XMAM-6120MX,Matrix de 6 canales para 6 zonas mas USB-MP3 y Bluetooth con 6 amplificadores de 120w @ 70v/100v,Si usted requeire un sistema de hasta 6 zonas en donde pueda enviar la señal de manera independiente a cada una de ellas y ademas busque un precio competitivo y que se pueda integrar con paneles de control externos y estacion de llamado,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,1,1,1,,,,1,1,,,,,,,,1,,,,1,,1,1,1,,1,,,,1,,,
150005,Audio,04. Matrix Audio,/XMD-0808.png,DreamSound,XMD-0808,"Matrix DSP 8x8 + USB, Cancelador de Eco, seguimiento camara, destructor de feedback",Si desea una matrix y procesador de señal digital muy costo efectiva y flexible para cubrir las necesidades mas puntuales en proyectos de presupuesto limitado esta es la solucion,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
150050,Audio,04. Matrix Audio,/Fotos2024_4/Radius Nx12-8 RTP.png,Symetrix,Radius Nx12-8,"Matrix DSP 12 In x 8 Out + USB, Modulos Dante 64x64 Opcional y Modulo Cancelador Eco Opcional",Cuando necesite crear un ecosistema desde 12 entradas hasta 128 x 128 esta matrix con enfoque a soluciones de videoconferencias o mensajes pregrabados es la solucion gracias a su entorno de programacion y control Composer que permite la mas alta flexibilidad,,,,,,,,1,1,1,1,1,,,,,,1,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,1,1,1,,,1,,,1,1,1,1,1,1,1,1,,
150070,Audio,04. Matrix Audio,/Fotos2024_4/Radius Nx4-4 RTP.png,Symetrix,Radius Nx4-4,"Matrix DSP 4 In x 4 Out + USB, Modulos Dante 64x64 Opcional y Modulo Cancelador Eco Opcional",Cuando necesite crear un ecosistema desde 4 entradas hasta 128 x 128 esta matrix con enfoque a soluciones de videoconferencias o mensajes pregrabados es la solucion gracias a su entorno de programacion y control Composer que permite la mas alta flexibilidad,,,,,,,1,1,1,1,,,,,,,,,,,,,,,1,1,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,,1,1,
150090,Audio,04. Matrix Audio,/Fotos2024_4/Prism 16x16 RTP.png,Symetrix,Prism 16x16,"Matrix DSP 16 In x 16 Out, Modulos Dante 64x64 Opcional",Cuando necesite crear un ecosistema desde 16 entradas hasta 128 x 128 esta matrix es la solucion gracias a su entorno de programacion y control Composer que permite la mas alta flexibilidad,,,,,,,,1,1,1,1,1,,,,,1,1,1,,,,,1,,,,1,1,1,,1,,,,,1,,,,,1,1,1,1,1,,,1,,,1,1,1,1,1,1,,,,
150110,Audio,04. Matrix Audio,/Fotos2024_4/Prism 8x8 RTP.png,Symetrix,Prism 8x8,"Matrix DSP 8 In x 8 Out, Modulos Dante 64x64 Opcional",Cuando necesite crear un ecosistema desde 8 entradas hasta 128 x 128 esta matrix es la solucion gracias a su entorno de programacion y control Composer que permite la mas alta flexibilidad,,,,,,,,1,1,1,,1,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,,1,1,1,,
150130,Audio,04. Matrix Audio,/Fotos2024_4/Jupiter 12 RTP.png,Symetrix,Jupiter 12,"Matrix DSP 8 In x 8 Out, Arquitectura fija",Cuando necesite una matrix poderosa de alta calidad de sonido con un DSP preoprogramado para darle mas agilidad y economia al sistema,,,,,,,,1,1,,,1,,1,1,1,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,,,1,,1,,1,1,1,1,1,1,1,,1,,,1,1,1,1,1,,,1,,,
150150,Audio,04. Matrix Audio,/Fotos2024_4/Jupiter 4 RTP.png,Symetrix,Jupiter 4,Matrix DSP 4 In x 4 Out arquitectura fija,Cuando necesite una matrix poderosa de alta calidad de sonido con un DSP preoprogramado para darle mas agilidad y economia al sistema,,,,,,,,1,1,,,,,1,1,1,,,,,,,,1,1,1,1,,,,1,,,,1,1,,1,,1,1,,,1,,,,,,,,,,,,,,,,,
160000,Audio,04. Matrix Audio,/Fotos2024_4/Luna-F RTP.png,Audac,Luna-F,"Matrix DSP de 8 entradas, 8 salidas y 8 canales flexibles + 16/16 Dante con capacidad de licencia opcional AEC","Cuando necesite una matrix de alta flexibilidad con capacidad de manejo de 4 canales de cancelacion de eco y 32 canales Dante, expandibles a 64",,,,,,,,1,1,1,1,1,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
160100,Audio,04. Matrix Audio,/Fotos2024_4/Luna-U RTP.png,Audac,Luna-U,Matrix DSP de 12 entradas y 12 salidas con capacidad de licencia opcional Dante,Cuando necesite una matrix de alta flexibilidad con capacidad de expandirse a 32 canales dante,,,,,,,,1,1,1,1,1,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,1,,,,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
160900,Audio,04. Matrix Audio,/Fotos2024_4/PRE-240 RTP.png,Audac,PRE-240,Matrix Preamplificador analoga de 8 entradas y 4 salidas,Si esta buscando una forma competitiva de enrutar 8 señales a 4 zonas diferentes incluyendo bluetooth esta seria la matriz mas competitva que encontraria,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,,,,1,1,1,1,1,,,,,,1,1,,
161000,Audio,05. Modulo Audio,/161000_PVA-1WEOL.png,Bosch,PVA-1WEOL,Modulo deteccion fallas fin de linea altavoces,"Si desea que se monitoree el cable que pasa por los altavoces en caso de falla, coloque este modulo al final de la linea de un sistema Paviro",1,PVA-4CR12,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,,1,1,,
162000,Audio,05. Modulo Audio,/162000_PRA-EOL.png,Bosch,PRA-OEL,Modulo deteccion fallas fin de linea altavoces,"Si desea que se monitoree el cable que pasa por los altavoces en caso de falla, coloque este modulo al final de la linea de un sistema Praesensa",1,Amplificadores Praesensa Opcional,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
163000,Audio,05. Modulo Audio,/Fotos2024_4/4 Ch In RTP.png,Symetrix,4 Ch In,Tarjeta expansora de 4 canales de entrada mic/line,Cuando en su procesador Radius NX necesite de manera local adicionarle 4 entradas de audio mas,,Radius NX,,,,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,1,1,1,,,1,,,1,1,1,1,1,1,1,,,
163010,Audio,05. Modulo Audio,/Fotos2024_4/4 Ch Out RTP.png,Symetrix,4 Ch Out,Tarjeta expansora de 4 canales de salida line,Cuando en su procesador Radius NX necesite de manera local adicionarle 4 salidas de audio mas,,Radius NX,,,,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,1,1,1,,,1,,,1,1,1,1,1,1,1,,,
163020,Audio,05. Modulo Audio,/Fotos2024_4/2 Line VoiP RTP.png,Symetrix,2 Line VoiP,Tarjeta expansora de 2 canales de llamados por telefonia IP,"Si requerie integrar su sistema de telefonia IP para ahcer llamados desde los telefonos a un sistema de audio, complemente su matrix Radius NX con este modulo",,Radius NX,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,1,,,,,1,,,1,1,1,1,1,1,1,,,
163030,Audio,05. Modulo Audio,/Fotos2024_4/USB Audio RTP.png,Symetrix,USB Audio,Tarjeta expansora de audio USB compatible zoom/teams,"Si requerie adicionar una entrada USB mas para una nueva videoconferencia o para reproduccion/grabacion de mensajes, complemente su matrix Radius NX con este modulo",,Radius NX,,,,,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163040,Audio,05. Modulo Audio,/Fotos2024_4/AEC-1 Module RTP.png,Symetrix,AEC-1 Module,Modulo cancelador de eco 8 canales,Para hacer videoconferencias efectivas un buen cancelador de eco es fundamental y con este modulo que se instala internamente a la RadiusNX va a lograr la comunicación mas calra y efectiva en sus reuniones,,Radius NX,,,,,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163050,Audio,05. Modulo Audio,/Fotos2024_4/AEC-2 Module RTP.png,Symetrix,AEC-2 Module,Modulo cancelador de eco 16 canales,Para hacer videoconferencias efectivas un buen cancelador de eco es fundamental y con este modulo que se instala internamente a la RadiusNX va a lograr la comunicación mas calra y efectiva en sus reuniones,,Radius NX,,,,,1,1,1,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163060,Audio,05. Modulo Audio,/Fotos2024_4/Dante Module RTP.png,Symetrix,Dante Module,Modulo interno Dante 64 x 64 canales,"Esta necesitando integrar su matrix RadiusNX o Prism a un ecosistema Dante y asi crear toa un ainfrastructura agil basada en IP, esta tarjeta interna es la solucion",,Radius NX & Prism,,,,,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,1,1,1,1,1,,,,,1,,,,,,,1,1,1,,,1,,,1,1,1,1,1,1,1,,,
196000,Audio,06. PreAmplificador,/196000_PVA-4R24.png,Bosch,PVA-4R24,Expansor de hasta 24 zonas,Si desea ampliar la capacidad de subzonas para el sistema Paviro utilice este equipo,1,PVA-4CR12,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,,1,1,,
201000,Audio,06. PreAmplificador,/201000_Varios.png,Varias,Varios,"Preamplificador 7,1","Cuando requiera decodificar fuentes digitales de teatro Dolby o DTS como su BluRay y entregar salidas para su procesador o amplificador. Preste atencion al tipo de salida de este equipo de manera que se acople a las entradas del procesador o amplificador, de lo contrario use los adaptadores RDL adecuados para esto",,Amplificador de 5 o 7 canales,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202000,Audio,06. PreAmplificador,/202000_EZ-MCP1.png,RDL,EZ-MCP1,Preamplificador y Compresor de Microfono,"Si tiene un mixer tradicional que no tenga compresor a la entrada y requiera controlar el volumen y ruidos de golpes que puede generar personas no expertas en el manejo de los microfonos, este equipo le brindara esta solucion",,,PS-24AS,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,,,,,,,,,,,,1,,,1,,,,
203000,Audio,06. PreAmplificador,/203000_EZ-PH1.png,RDL,EZ-PH1,Preamplificador stereo de tocadiscos,"Cuando necesite tomar una señal nativa de tocadiscos y poderla ingresar a un mixer o matrix con entradas normales de linea, este equipo le convertira la señal al nivel apropiado sin inyectar ruidos",,,PS-24AS,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207000,Audio,08. Amplificador,/207000_IPX5-4.png,Dynacord,IPX5:4,Amplificador 1250wt x4 70v / 100v IP con DSP (Dante),Cuando requiera 4 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes no supere los 5000w (1250w x 4) use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o 4Ohms.  Viene equipado con DSP y el audio y control puede llegar digital IP por un solo cable,,,,,,,,,1,1,1,1,,,,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,,1,1,,1,1,1,1,1,1,,1,,,
208000,Audio,08. Amplificador,/208000_IPX10-4.png,Dynacord,IPX10:4,Amplificador 2500wt x4 70v / 100v IP con DSP (Dante),Cuando requiera 4 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes no supere los 5000w (1250w x 4) use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o 4Ohms.  Viene equipado con DSP y el audio y control puede llegar digital IP por un solo cable,,,,,,,,,,1,,1,,,,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,1,1,,1,1,,1,1,,,,1,,1,1,,1,,,
209000,Audio,08. Amplificador,/209000_IPX10-8.png,Dynacord,IPX10:8,Amplificador 1250wt x8 70v / 100v IP con DSP (Dante),Cuando requiera 4 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes no supere los 10000w (1250w x 8) use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o 4Ohms.  Viene equipado con DSP y el audio y control puede llegar digital IP por un solo cable,,,,,,,,,,1,,1,,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,,1,1,,,,1,,,1,,1,,,
210000,Audio,08. Amplificador,/210000_IPX20-4.png,Dynacord,IPX20:4,Amplificador 5000wt x4 100v IP con DSP (Dante),Cuando requiera 4 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes no supere los 20000w (5000w x 4) use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 100v o 4Ohms (en 70v da 3550w).  Viene equipado con DSP y el audio y control puede llegar digital IP por un solo cable,,,,,,,,,,1,,1,,,1,1,1,1,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,1,1,1,1,1,,1,1,,,,1,,,1,,1,,,
211000,Audio,08. Amplificador,"/211000_CPS-4,5.png",EV,"CPS-4,5",Amplificador 500wt x4 70v / 8 ohms,Cuando requiera 4 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes no supere los 2000w (500w x 4) use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o entre 2 Ohms y 10 Ohms sin variar su potencia le dara la ventaja adicional de poderle instalar un modulo RCM810 para integrarlo a la Matrix Netmax N8000 de EV para formar un gran sistema monitoreado y que si se le adiciona el modulo LML-1 podra monitorear el estado de la liena de altavoces para un sistema de mayor seguridad,,Modulo RCM opcional,,,,,,,,1,,1,,,1,1,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,1,,,,1,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,,,
212000,Audio,08. Amplificador,"/212000_CPS-8,5.png",EV,"CPS-8,5",Amplificador 500wt x8 70v / 8 ohms,Cuando requiera 8 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes no supere los 4000w (500w x 8) use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o entre 2 Ohms y 10 Ohms sin variar su potencia le dara la ventaja adicional de poderle instalar un modulo RCM810 para integrarlo a la Matrix Netmax N8000 de EV para formar un gran sistema monitoreado y que si se le adiciona el modulo LML-1 podra monitorear el estado de la liena de altavoces para un sistema de mayor seguridad,,Modulo RCM opcional,,,,,,,,1,,1,,,,1,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,1,1,,1,1,,1,1,,,1,1,1,1,1,,1,,,
212500,Audio,08. Amplificador,/Fotos2024_4/V600_4 RTP.png,Dynacord,V600_4,Amplificador de 500w @ 70v/100v/4ohm/8ohm distribuibles libremente en 4 canales,Cuando requiera ya sea 4 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes en su totalidad no supere los 500w use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o entre 4 Ohms y 8 Ohms distribuyendo segun la necesidad estos 500w hasta en 4 canales libremente,,,,,,,,,1,1,1,1,,,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,
212505,Audio,08. Amplificador,/V600_2 RTP.png,Dynacord,V600:2,Amplificador de 500w @ 70v/100v/4ohm/8ohm distribuibles libremente en 2 canales,Cuando requiera ya sea 2 canales independientes de amplificacion y en cada canal vaya a instalar varios altavoces en paralelo en donde el consumo de los parlantes en su totalidad no supere los 500w use este amplificador-  Este amplificador de muy alta calidad de sonido que puede ser usado ya sea en 70v/100v o entre 4 Ohms y 8 Ohms distribuyendo segun la necesidad estos 500w hasta en 4 canales libremente,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,
213000,Audio,08. Amplificador,/213000_C-1300FDi.png,Dynacord,C-1300FDi,Amplificador 625wt x1 70v con DSP,Cuando va a instalar varios altavoces en paralelo y requiera amplificarlos con un amplificador de marca reconocida y el consumo de los parlante no supere los 625w use este amplificador equipado con DSP y control desde PC,,,,,,,,1,1,,,1,1,1,1,1,1,1,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,,,
214000,Audio,08. Amplificador,/214000_C-2800FDi.png,Dynacord,C-2800FDi,Amplificador 1250wt x2 70v con DSP,Cuando va a instalar varios altavoces en paralelo y requiera amplificarlos con un amplificador de marca reconocida y el consumo de los parlante no supere los 2500w (1250w x2) use este amplificador equipado con DSP y control desde PC,,,,,,,,,1,,,1,,,1,1,1,1,,,,,,,,1,1,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,,,1,,,
215000,Audio,08. Amplificador,/215000_L-1300FD.png,Dynacord,L-1300FD,Amplificador 660wts x 2 4 ohms con DSP,Cuando va a instalar pocos altavoces  pero de alta potencia y requiera amplificarlos con muy alta calidad y resalte en los bajos use este amplificador equipado con DSP y control desde PC,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,,,,,,
216000,Audio,08. Amplificador,/216000_L-1800FD.png,Dynacord,L-1800FD,Amplificador 950wts x 2 4 ohms con DSP,Cuando va a instalar pocos altavoces  pero de alta potencia y requiera amplificarlos con muy alta calidad y resalte en los bajos use este amplificador equipado con DSP y control desde PC,,,,,,,,1,1,,,,,1,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
217000,Audio,08. Amplificador,/217000_L-L-2800FD.png,Dynacord,L-2800FD,Amplificador 1400wts x 2 4 ohms con DSP,Cuando va a instalar pocos altavoces  pero de alta potencia y requiera amplificarlos con muy alta calidad y resalte en los bajos use este amplificador equipado con DSP y control desde PC,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
218000,Audio,08. Amplificador,/218000_L-3600FD.png,Dynacord,L-3600FD,Amplificador 1800wts x 2 4 ohms con DSP,Cuando va a instalar pocos altavoces  pero de alta potencia y requiera amplificarlos con muy alta calidad y resalte en los bajos use este amplificador equipado con DSP y control desde PC,,,,,,,,,,,,,,,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,
219000,Audio,08. Amplificador,/219000_IPX10-4.png,Dynacord,IPX10:4,Amplificador 2500wt x4  4 ohms IP con DSP (Dante),El ampllificador para refuerzo sonoro mas completo y avanzado del mercado con 4 canales de 2500wts en 4 ohms viene equipado con DSP y tanto el audio como el control puede llegar digital IP por un solo cable para ser monitoreado mas facilmente,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,
220000,Audio,08. Amplificador,/220000_IPX20-4.png,Dynacord,IPX20:4,Amplificador 5000wt x4  4 ohms IP con DSP (Dante),El ampllificador para refuerzo sonoro mas completo y avanzado del mercado con 4 canales de 5000wts en 4 ohms viene equipado con DSP y tanto el audio como el control puede llegar digital IP por un solo cable para ser monitoreado mas facilmente,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,
221000,Audio,08. Amplificador,/221000_PVA-2P500.png,Bosch,PVA-2P500,Amplificador 500w x2   100v,"Si desea que el sistema Paviro tenga amplificadores que cumplan normativa de Evacuacion use estos, si no lo requiere, coloque otro amplificador cualqueira",1,PVA-4CR12,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,,1,1,,
222000,Audio,08. Amplificador,/222000_PRA-AD608.png,Bosch,PRA-AD608,Amplificador IP 600w x8  100v,"Si desea que el sistema Praesensa tenga amplificadores que cumplan normativa de Evacuacion use estos, si no lo requiere, coloque otro amplificador cualqueira",1,Controlador PRA-CS Series,PRA-MPS3 y modulo PRA-PSM,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
223000,Audio,08. Amplificador,/223000_PRA-AD604.png,Bosch,PRA-AD604,Amplificador IP 600w x4  100v,"Si desea que el sistema Praesensa tenga amplificadores que cumplan normativa de Evacuacion use estos, si no lo requiere, coloque otro amplificador cualqueira",1,Controlador PRA-CS Series,PRA-MPS3 y modulo PRA-PSM,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,1,1,,,,,,,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,
225000,Audio,08. Amplificador,/Fotos2024_4/XA-2500 RTP.png,DreamSound,XA-2500,Amplificador 2x 500wts @ 70v/100v o 2x 350w @ 4 ohms,"Cuando requeriea un amplificador de buena potencia y que ocupe poco espacio, esta potencia que incluye filtros de corte de bajos para proteger mas sus altavoces y funcion de Standby es la opcion profesional de buen precio a su disposicion",,,,,,,,,1,,1,1,,,1,1,,1,,,,,,,1,1,1,1,1,1,1,1,,,,1,1,,,1,1,1,1,,1,1,,,,1,1,,1,1,1,1,,1,1,,
